Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3417249.1,1764,1673,1341,0,0,0,8,6,3,2,2,2,4,12,8
KAM3417250.1,1483,1507,1679,2,0,12,12,18,10,14,24,9,10,20,22
KAM3417251.1,2866,2625,2564,12,8,0,6,13,11,14,17,20,16,22,27
KAM3417252.1,18,22,31,0,0,0,0,2,0,0,0,0,0,0,0
KAM3417254.1,6,12,20,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417255.1,2435,2308,2267,4,0,24,6,8,16,11,12,8,16,14,30
KAM3417256.1,49,52,36,0,0,3,0,0,0,2,0,2,2,2,0
KAM3417257.1,2,10,14,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417258.1,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417259.1,45,46,66,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417260.1,1229,1412,1930,2,8,6,4,8,6,6,12,6,14,12,13
KAM3417261.1,12901,12378,17542,18,18,6,15,41,19,37,29,23,93,95,167
KAM3417262.1,3116,2835,2768,4,18,24,2,8,11,18,18,34,15,22,36
KAM3417263.1,26234,20459,24364,62,100,66,92,153,151,122,60,104,374,368,541
KAM3417264.1,705,898,709,8,8,12,2,7,2,2,4,2,20,18,24
KAM3417265.1,493,343,415,2,0,0,10,10,2,0,0,2,3,8,11
KAM3417266.1,289,253,248,0,0,0,2,1,2,1,2,2,6,4,5
KAM3417267.1,2842,2686,2531,2,0,0,2,4,0,2,2,4,6,0,8
KAM3417268.1,1002,1164,1264,4,4,6,9,12,10,10,8,4,26,16,8
KAM3417269.1,386,278,441,6,0,0,2,2,10,0,0,0,4,2,4
KAM3417271.1,1316,847,1306,0,0,0,10,6,4,5,2,12,14,12,17
KAM3417272.1,1502,1435,1577,0,0,0,5,13,10,0,11,7,11,5,20
KAM3417273.1,221,166,223,0,0,0,4,2,2,0,2,6,0,3,2
KAM3417274.1,22,5,16,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417275.1,534,470,734,2,4,6,4,4,6,4,8,14,9,6,14
KAM3417276.1,1117,981,1093,0,6,0,3,6,15,14,7,14,24,27,43
KAM3417277.1,593,397,654,2,0,0,10,6,2,0,2,6,6,9,13
KAM3417278.1,24,12,18,0,0,0,0,0,0,0,0,0,0,0,1
KAM3417279.1,1101,1578,1922,1,4,0,6,8,2,14,2,3,9,4,4
KAM3417280.1,537,503,632,0,0,0,0,3,4,14,8,10,4,8,0
KAM3417281.1,584,463,1689,0,0,0,2,4,0,0,0,4,5,0,4
KAM3417282.1,454,409,595,0,0,0,2,7,2,6,6,11,3,3,6
KAM3417283.1,4117,3182,3865,12,14,9,2,10,8,12,19,32,49,32,32
KAM3417284.1,1991,1412,5944,0,0,0,0,0,0,10,3,0,430,110,317
KAM3417285.1,17,12,9,0,0,0,0,0,0,2,1,0,0,0,0
KAM3417286.1,1838,1048,1784,8,0,0,0,20,2,10,9,13,1,4,8
KAM3417287.1,1667,1354,1044,3,16,6,0,2,4,6,0,4,8,0,2
KAM3417288.1,446,244,406,0,0,0,2,4,2,5,2,4,10,4,0
KAM3417289.1,2258,2312,1709,22,28,48,4,4,12,10,24,16,12,13,17
KAM3417290.1,739,854,950,6,4,12,4,10,5,11,6,3,9,8,15
KAM3417291.1,27,20,21,0,0,0,0,0,0,2,0,0,0,2,0
KAM3417292.1,691,613,643,6,4,18,2,8,2,4,4,4,8,11,12
KAM3417293.1,504,592,941,0,0,0,3,3,0,10,10,4,6,4,6
KAM3417294.1,2443,2041,2440,12,12,6,22,6,17,14,18,33,23,10,22
KAM3417295.1,196,176,153,0,0,0,6,4,0,0,0,2,5,0,0
KAM3417296.1,420,370,622,0,0,0,0,0,4,0,8,8,2,2,2
KAM3417297.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417298.1,617,318,469,2,0,6,5,4,14,15,24,26,40,16,30
KAM3417299.1,1389,1586,1728,2,0,6,2,4,8,0,0,10,10,8,8
KAM3417300.1,2620,2413,2552,7,0,12,10,6,6,12,8,14,12,27,20
KAM3417304.1,674,714,849,2,4,15,4,11,9,3,9,18,11,23,15
KAM3417306.1,29005,20146,25796,16,14,24,105,143,147,162,189,194,136,224,247
KAM3417307.1,784,751,1081,2,12,6,2,3,12,1,5,3,9,7,9
KAM3417308.1,5339,5514,4837,10,18,6,16,16,4,24,16,14,20,21,29
KAM3417309.1,4318,2721,2938,4,2,0,4,4,0,2,3,8,14,2,12
KAM3417310.1,870,604,572,0,2,12,5,0,6,0,0,2,6,4,4
KAM3417311.1,704,811,115,0,0,0,2,0,0,0,0,0,0,0,0
KAM3417312.1,6859,6079,4931,13,4,18,0,2,4,7,8,4,4,2,11
KAM3417313.1,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417314.1,9859,10759,6625,24,34,90,14,10,30,12,21,24,26,18,19
KAM3417315.1,6,21,16,0,0,0,1,0,0,0,0,0,0,0,1
KAM3417316.1,3281,3661,3622,4,0,0,4,6,8,5,6,6,1,5,11
KAM3417317.1,1451,1269,1735,0,0,0,4,4,2,8,9,8,0,0,0
KAM3417318.1,732,567,406,0,8,12,10,5,2,2,6,8,2,4,4
KAM3417319.1,128,76,111,0,0,6,0,2,0,0,2,0,0,2,0
KAM3417320.1,689,752,704,2,0,0,2,1,6,0,4,6,9,4,14
KAM3417321.1,82,67,91,0,0,0,0,0,0,2,0,2,0,0,0
KAM3417322.1,113,41,74,0,0,0,3,0,0,2,2,12,4,0,2
KAM3417323.1,96,105,89,3,4,6,0,1,0,0,2,0,5,0,1
KAM3417324.1,954,600,1748,0,0,12,2,2,2,2,2,2,0,0,4
KAM3417325.1,1044,739,925,0,4,12,4,4,2,4,18,19,2,1,6
KAM3417326.1,1651,1529,2404,0,8,0,0,1,0,5,2,4,4,9,6
KAM3417327.1,185,154,132,0,0,0,0,2,4,0,2,0,4,5,7
KAM3417328.1,462,239,1125,2,0,0,0,16,6,30,24,22,8,12,14
KAM3417329.1,18,27,53,0,0,0,2,8,4,15,31,35,0,0,6
KAM3417330.1,232,207,231,2,4,0,2,2,3,4,4,4,0,2,4
KAM3417332.1,186,153,183,0,0,6,2,2,4,0,2,4,0,0,4
KAM3417333.1,11,7,20,0,0,0,0,0,0,0,0,0,2,1,0
KAM3417334.1,155,65,120,1,0,0,1,7,4,0,0,5,4,3,4
KAM3417335.1,601,535,556,6,8,0,1,0,9,8,2,3,12,25,2
