Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3419726.1,672.425438,404.789264,670.925054,0,0,0,0,0,117.825828,46.982396,42.859963,105.06335,0,0,0
KAM3419727.1,0.452395,0.254027,4.372099,0,0,0,0,0,38.16893,0,0,0,657.619908,188.970182,400.41391
KAM3419728.1,0.1752,0,4.985518,0,0,0,0,0,0,0,0,0,276.157144,117.092797,202.264418
KAM3419729.1,12.240328,9.944141,12.424752,17.313298,0,0,0,46.4425,0,12.516546,0,37.3198,19.547803,31.081582,0
KAM3419730.1,36.192175,37.637036,26.341775,0,65.109539,114.258814,0,69.899898,55.118523,87.912822,70.174109,49.148279,22.883078,27.288575,25.14021
KAM3419731.1,117.876789,160.893922,145.39135,114.651411,54.566233,0,168.687543,92.753061,115.482701,55.257704,50.409161,72.081815,62.327133,80.043904,96.567213
KAM3419732.1,5.398895,4.06768,7.338512,0,0,0,0,0,0,45.98277,0,34.275986,0,0,0
KAM3419733.1,53.015163,51.412061,53.724959,127.662465,68.353431,79.967616,105.654831,244.608184,202.526246,369.171282,273.632647,240.785755,84.08106,80.214816,52.785495
KAM3419734.1,7.862506,7.037337,11.553429,0,0,0,212.49801,63.252975,0,0,18.143175,0,0,0,0
KAM3419735.1,1.85232,1.571229,2.623856,0,0,0,0,0,0,6.629418,12.09545,0,0,3.292487,0
KAM3419736.1,3.509534,3.075603,4.138921,0,0,0,0,0,0,0,0,20.349112,7.105798,6.779057,10.408929
KAM3419737.1,0.515028,0.298526,0.374644,15.462566,0,0,17.062648,0,0,0,0,16.665221,0,0,0
KAM3419738.1,4.083052,4.750484,6.366221,0,0,38.086271,0,93.199864,13.779631,43.956411,50.124364,77.818108,22.883078,27.288575,20.950175
KAM3419739.1,4.470311,4.350939,13.867518,0,0,0,51.012041,106.291082,0,66.840934,30.488015,24.911928,0,0,25.48578
KAM3419740.1,0.870542,0.438257,1.015389,0,0,0,0,10.706371,0,0,18.425779,15.055807,2.628702,10.031314,3.850655
