Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2207433,1425,1632,2189,0,0,0,0,2,2,14,8,9,92,199,94
KAF2207434,3306,2968,3943,2,1,2,2,0,7,49,12,5,132,334,172
KAF2207435,719,727,1231,0,0,0,2,0,4,21,10,11,52,150,77
KAF2207436,6496,7208,16306,2,0,0,0,1,6,2,3,4,20,45,18
KAF2207437,117,111,98,0,0,0,0,0,0,4,0,0,4,4,0
KAF2207438,4951,4495,3526,0,0,4,5,2,6,22,6,9,28,93,21
KAF2207439,349,349,289,0,0,1,0,2,0,4,0,6,12,18,8
KAF2207440,142,144,102,0,0,0,0,0,0,1,3,2,4,5,7
KAF2207441,14977,12366,7136,8,4,9,10,0,5,52,19,34,237,438,158
KAF2207442,3131,2776,2341,0,2,0,2,2,4,16,6,16,104,156,72
KAF2207443,11089,10143,10961,12,2,10,1,0,0,23,6,8,98,208,81
KAF2207444,5289,4809,3832,2,0,2,4,0,0,16,6,4,21,61,30
KAF2207445,4968,5147,8616,0,0,0,4,0,8,52,16,16,167,253,150
KAF2207446,2222,2785,7509,4,0,0,8,0,2,53,4,20,151,302,40
KAF2207447,280,246,508,0,4,0,2,0,0,28,12,22,77,216,24
KAF2207448,135,94,123,0,0,0,2,0,0,2,2,0,10,19,12
KAF2207449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207450,516,496,929,0,0,0,0,0,0,10,5,2,40,98,47
KAF2207451,1898,1731,2120,0,0,2,0,0,2,10,0,2,27,67,30
KAF2207452,2246,1851,2006,0,2,2,0,0,0,4,8,3,22,34,13
KAF2207453,194,170,284,0,0,0,0,0,0,0,0,0,4,0,2
KAF2207454,316,389,899,0,0,0,0,2,0,2,2,6,30,37,6
KAF2207455,1780,1887,3395,0,0,0,2,0,2,9,1,0,29,98,28
KAF2207456,8526,9780,16062,4,2,4,6,2,16,39,15,16,169,521,199
KAF2207457,16320,22785,42915,17,6,23,4,0,6,24,8,6,38,59,14
KAF2207458,3636,3136,1337,2,0,0,2,0,0,2,2,6,22,41,5
KAF2207459,2313,1756,1861,2,0,0,0,2,2,12,6,10,59,128,26
KAF2207460,1050,1084,1089,0,0,0,2,0,0,18,5,8,54,104,74
KAF2207461,674,677,760,0,0,0,0,0,8,42,12,55,114,160,72
KAF2207462,977,672,686,0,0,0,2,0,2,8,5,4,32,68,39
KAF2207463,2555,2891,3083,3,0,0,0,0,2,22,10,0,50,142,63
KAF2207464,4825,5066,7067,4,0,0,2,2,6,16,4,8,64,114,31
KAF2207465,8030,6975,6175,2,1,2,6,2,5,31,4,11,75,206,88
KAF2207466,807,653,608,1,0,0,0,6,0,11,3,0,11,38,10
KAF2207467,1497,1314,1375,0,2,0,0,2,2,13,0,0,26,88,30
KAF2207468,5072,3893,7359,2,2,2,14,6,13,43,16,11,98,343,113
KAF2207469,2589,2298,1062,2,3,1,0,0,0,12,2,3,28,69,41
KAF2207470,1843,1631,1062,0,0,0,0,0,4,2,4,0,6,36,10
KAF2207471,111,77,154,0,0,0,0,0,0,6,0,0,9,17,15
KAF2207472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207473,394,294,200,0,0,0,0,2,0,2,4,0,1,4,3
KAF2207474,601,531,390,0,0,0,0,0,0,0,0,0,1,2,4
KAF2207475,3583,3065,2371,0,0,0,6,0,2,8,3,4,31,57,26
KAF2207476,666,607,605,0,0,0,0,0,0,10,3,2,15,33,20
