Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2211628,2.718071,2.943365,5.685931,0,0,0,0,0,0,0,0,0,13.25156,6.222745,13.743398
KAF2211196,73.288343,86.053002,97.057392,0,0,0,0,583.214503,0,155.231752,324.506276,366.407671,155.960669,162.748703,305.526306
KAF2211197,92.497607,91.604735,59.686035,0,0,0,0,0,191.411811,101.748544,283.602123,150.103983,92.760921,140.456234,98.167127
KAF2211198,13.296358,15.505276,29.762628,0,0,0,0,0,0,20.459116,0,0,19.309416,12.284902,16.150076
KAF2211199,12.959372,10.879939,10.234677,0,0,0,0,0,0,0,0,0,0,0,10.307548
KAF2211200,60.746327,62.181276,78.655108,0,268.849726,0,156.007311,0,124.697111,88.380122,92.377699,117.344063,120.860031,112.350063,109.997341
KAF2211201,19.253,21.69981,32.404394,0,0,0,0,0,0,0,0,0,21.454907,10.07492,22.251216
KAF2211202,213.149159,261.180852,238.499301,0,0,126.688761,0,0,29.60746,45.466492,65.801099,37.148785,64.420496,71.502247,74.100019
KAF2211203,213.31324,231.882391,167.545446,207.903882,0,98.450391,0,0,34.51213,146.764566,153.402967,216.513624,180.221217,127.58512,155.758509
KAF2211204,0.990154,1.294066,4.299741,0,0,0,0,0,58.908635,6.958665,0,0,1.165223,8.754758,21.752481
KAF2211205,66.318334,68.717767,85.680164,0,0,108.29543,0,0,379.633426,89.689457,0,95.265995,90.110609,100.144702,105.915786
KAF2211206,28.351856,27.039625,20.865534,0,0,138.708568,0,0,0,22.975478,0,61.010006,19.236136,44.26178,51.870243
KAF2211207,24.404075,21.502791,27.233139,0,200.176155,0,58.078809,0,0,27.418652,17.195305,29.123436,49.585321,25.871737,55.235015
KAF2211208,47.942173,55.548788,95.890724,0,0,0,131.661201,0,0,136.744193,272.865133,66.021095,120.733413,160.309144,237.475755
KAF2211209,7.892005,8.051586,11.577899,0,135.912961,44.95659,0,0,0,14.893083,11.675041,9.886923,8.104967,17.56605,8.405787
KAF2211210,48.638495,52.792802,115.55028,0,0,186.003601,0,781.329354,130.408429,161.749116,579.652432,204.531,162.508636,228.935246,230.070775
KAF2211211,19.566396,21.743545,42.746425,205.004824,0,0,170.302802,0,204.185309,104.51859,100.842588,85.397804,53.850961,72.069794,50.264698
KAF2211212,10.556607,9.876483,13.163582,0,0,0,0,0,0,10.269785,0,13.6354,15.477013,12.920508,5.350483
KAF2211213,5.297913,5.563545,7.870507,0,79.465831,0,0,0,0,17.415429,13.652368,0,0,10.955253,6.048874
KAF2211214,165.081964,153.565857,117.038788,169.729117,242.98458,321.492755,140.998361,112.538917,338.101237,229.647414,166.98069,185.595859,217.350355,203.082466,150.278275
KAF2211215,1.602768,1.272786,3.629997,0,0,0,0,0,0,0,0,0,0,1.141583,0
KAF2211216,2.265059,2.592965,4.321308,0,0,0,0,0,0,0,0,0,0,8.296993,9.162265
KAF2211217,59.344752,57.627777,54.784968,167.609807,239.95057,158.73923,278.475591,0,0,111.746636,206.119621,69.820354,46.229384,90.969633,45.662104
KAF2211218,11.85702,11.69701,15.726324,0,0,0,0,0,0,6.326059,59.509772,33.596942,22.245174,32.830342,32.958305
KAF2211219,9.816914,9.072681,16.952823,0,0,0,0,0,0,0,0,183.203836,28.881605,32.549741,23.962848
KAF2211220,586.476004,629.161391,516.581937,0,209.871296,138.840295,487.13394,194.404834,486.70952,425.449988,216.337517,213.737808,177.140512,143.761355,215.665628
KAF2211221,7.926836,7.825581,9.368034,0,0,0,0,0,0,28.543321,0,0,11.47094,8.528769,15.862253
KAF2211222,5.515724,5.763617,7.941863,77.261578,0,0,0,0,0,12.120197,19.00262,16.092229,0,6.671231,2.104845
KAF2211223,33.48425,32.935398,48.455141,0,132.015815,174.670048,0,0,0,21.699062,22.680546,38.413707,18.167461,17.062364,20.097872
KAF2211224,22.380959,27.643512,59.432893,0,82.429868,0,0,0,0,103.87384,84.969566,59.96321,51.424555,83.098359,68.235124
KAF2211225,7.698995,9.067722,17.550043,0,0,0,0,0,68.470959,40.441138,0,21.477804,10.834943,10.175871,11.237087
KAF2211226,9.378025,8.307434,13.321209,0,112.35103,0,65.194718,0,0,36.933635,0,16.345843,43.291573,30.009636,36.346292
KAF2211227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2211228,7.567033,8.194247,9.430325,0,0,0,0,0,0,32.813216,0,0,54.945493,72.244546,39.889374
KAF2211229,42.671345,58.068026,120.188922,0,384.338218,0,0,0,0,63.172574,66.029973,111.833994,77.57348,91.068513,58.511022
